"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","26-Jul-2019","       2127.90","       2129.80","       2129.80","       2095.00","       2112.65","       2109.05","       2109.59","    1720592","          3629738982.00","      88967","    1052092","         61.15"
"TCS","EQ","29-Jul-2019","       2109.05","       2110.80","       2142.00","       2103.30","       2125.10","       2130.00","       2123.42","    1647090","          3497461296.40","      95152","     670671","         40.72"
"TCS","EQ","30-Jul-2019","       2130.00","       2130.00","       2185.00","       2120.45","       2176.30","       2179.15","       2162.72","    2851672","          6167374325.65","     151588","    1640143","         57.52"
"TCS","EQ","31-Jul-2019","       2179.15","       2171.75","       2211.70","       2147.15","       2201.00","       2205.70","       2180.17","    3000677","          6541994700.30","     132679","    1406687","         46.88"
"TCS","EQ","01-Aug-2019","       2205.70","       2200.00","       2217.50","       2166.25","       2178.30","       2180.05","       2195.10","    2375236","          5213870562.90","     175166","    1115202","         46.95"
"TCS","EQ","02-Aug-2019","       2180.05","       2173.00","       2210.00","       2165.50","       2205.00","       2205.30","       2185.91","    2500816","          5466555711.85","     154834","    1184875","         47.38"
"TCS","EQ","05-Aug-2019","       2205.30","       2199.90","       2252.25","       2195.60","       2240.00","       2248.60","       2241.19","    3039682","          6812507105.50","     149146","    1648531","         54.23"
"TCS","EQ","06-Aug-2019","       2248.60","       2232.80","       2251.95","       2211.45","       2213.75","       2214.90","       2232.27","    2885467","          6441130302.75","     181107","    1254987","         43.49"
"TCS","EQ","07-Aug-2019","       2214.90","       2230.00","       2238.50","       2207.25","       2218.90","       2213.45","       2223.14","    2165362","          4813906242.55","     141079","    1149124","         53.07"
"TCS","EQ","08-Aug-2019","       2213.45","       2228.90","       2281.00","       2218.90","       2253.80","       2258.10","       2247.44","    2073298","          4659603954.15","     139214","     942856","         45.48"
"TCS","EQ","09-Aug-2019","       2258.10","       2260.00","       2267.90","       2241.35","       2245.00","       2246.25","       2253.09","    1744550","          3930622404.15","     119969","     708230","         40.60"
"TCS","EQ","13-Aug-2019","       2246.25","       2245.00","       2246.25","       2194.30","       2200.00","       2199.45","       2219.61","    1647281","          3656315691.30","     157195","     893401","         54.23"
"TCS","EQ","14-Aug-2019","       2199.45","       2181.10","       2217.85","       2167.40","       2205.30","       2204.40","       2200.61","    1945002","          4280198913.25","     122192","     969990","         49.87"
"TCS","EQ","16-Aug-2019","       2204.40","       2241.40","       2241.40","       2143.25","       2162.00","       2165.10","       2173.77","    3755507","          8163597623.60","     191781","    2121016","         56.48"
"TCS","EQ","19-Aug-2019","       2165.10","       2180.00","       2186.00","       2157.70","       2166.00","       2163.00","       2171.81","     974884","          2117265896.90","      80584","     358199","         36.74"
"TCS","EQ","20-Aug-2019","       2163.00","       2172.00","       2205.00","       2166.50","       2190.00","       2186.75","       2190.28","    1843611","          4038017157.25","     104689","     608831","         33.02"
"TCS","EQ","21-Aug-2019","       2186.75","       2184.95","       2202.00","       2182.25","       2183.00","       2186.20","       2193.43","    1214408","          2663722477.85","      75613","     523155","         43.08"
"TCS","EQ","22-Aug-2019","       2186.20","       2187.00","       2235.65","       2170.00","       2210.00","       2216.00","       2213.54","    2131601","          4718387345.95","     106338","     923535","         43.33"
"TCS","EQ","23-Aug-2019","       2216.00","       2214.95","       2259.90","       2213.90","       2250.00","       2247.70","       2244.15","    2826425","          6342931919.75","     142446","    1480086","         52.37"
"TCS","EQ","26-Aug-2019","       2247.70","       2247.00","       2282.00","       2225.00","       2267.00","       2276.30","       2259.83","    2345475","          5300365694.55","     113243","    1140315","         48.62"
"TCS","EQ","27-Aug-2019","       2276.30","       2270.00","       2274.85","       2229.00","       2241.50","       2236.50","       2241.51","    3432106","          7693101227.40","     182084","    2396488","         69.83"
"TCS","EQ","28-Aug-2019","       2236.50","       2240.00","       2252.15","       2216.00","       2238.35","       2239.25","       2233.18","    1294621","          2891125233.10","      91252","     538431","         41.59"
"TCS","EQ","29-Aug-2019","       2239.25","       2222.20","       2248.20","       2222.20","       2232.00","       2233.45","       2235.21","    1670652","          3734260243.55","      98341","     761633","         45.59"
"TCS","EQ","30-Aug-2019","       2233.45","       2241.00","       2266.00","       2218.00","       2259.00","       2259.60","       2241.92","    2583625","          5792267670.05","     117933","    1472256","         56.98"
"TCS","EQ","03-Sep-2019","       2259.60","       2270.00","       2296.20","       2236.95","       2246.00","       2251.60","       2275.88","    2545060","          5792249619.30","     131301","    1257157","         49.40"
"TCS","EQ","04-Sep-2019","       2251.60","       2265.00","       2270.00","       2233.00","       2245.20","       2245.40","       2248.41","    2228092","          5009661776.30","     128138","    1359618","         61.02"
"TCS","EQ","05-Sep-2019","       2245.40","       2242.20","       2253.65","       2207.30","       2215.95","       2215.30","       2225.26","    2055943","          4575003143.35","     133165","    1200345","         58.38"
"TCS","EQ","06-Sep-2019","       2215.30","       2216.00","       2233.50","       2192.60","       2198.00","       2197.50","       2204.18","    1890550","          4167105292.20","     118713","     853437","         45.14"
"TCS","EQ","09-Sep-2019","       2197.50","       2200.00","       2202.85","       2179.80","       2185.00","       2182.85","       2188.09","    1703945","          3728385318.55","     121273","     677662","         39.77"
"TCS","EQ","11-Sep-2019","       2182.85","       2186.00","       2195.00","       2146.55","       2151.60","       2154.00","       2162.64","    2627440","          5682202898.00","     199136","    1433413","         54.56"
"TCS","EQ","12-Sep-2019","       2154.00","       2155.00","       2165.00","       2120.35","       2134.60","       2133.60","       2135.46","    2118859","          4524743294.65","     138766","    1080259","         50.98"
"TCS","EQ","13-Sep-2019","       2133.60","       2135.00","       2157.95","       2115.55","       2143.00","       2141.95","       2135.83","    2291174","          4893564411.70","     138321","     873724","         38.13"
